Race,Category,Short Description,Size,Type,Subtype,HD,Land,Burrow,Climb,Fly,Maneuver,Swim,Natural Armor,Natural Attacks,Special Attacks,Spell-like abilities,Psionic abilities,Other Special Abilities,LowLight Vision,Darkvision,Other Senses,Immunities,Vulnerabilities,Energy Resistance,Spell Resistance,Damage Reduction,Fast Healing,Bonus Essentia,Other Special Qualities,Str,Dex,Con,Int,Wis,Cha,StrAdj,DexAdj,ConAdj,IntAdj,WisAdj,ChaAdj,Racial Skills,Racial Weapon Familiarity,Racial Weapon Proficiency,Bonus Feat(s),Automatic Languages,Bonus Languages,Dragonlance Languages,CR Adj.,Alignment,Level Adj.,Favored Class,Base Age,Height,Weight,Special Qualities,,Familiar Level,Companion Level,Familiar Type,Companion  Type,Wildshape Special,Special,Index,Species,Src,Pg,AltSrc
"Gnome, Wavecrest",,,Small,Humanoid,Gnome,,20,,,,,,,,,Speak With Animals (sea birds),,,normal,,,,,,,,,,,,,,,,,-2,,2,,,,Listen+2,"Hammer, Gnome Hooked",,,"Common, Gnome","Draconic, Dwarven, Elven, Giant, Goblin, Orc",,,,,Bard,,,,,,,,,,,,,,Sto,,
"Gnome, Whisper",,,Small,Humanoid,Gnome,,30,,,,,,,,,"Silence. If Charisma 10 or more: Ghost Sound (DC 10+ChaMod), mage hand, message.",,,normal,60,,,,,,,,,,,,,,,,-2,2,2,,,-2,"Hide+4,Listen+2,Move Silently+4,Spot+2","Hammer, Gnome Hooked",,,Gnome,Terran,,,,,,50+3d6/5d6/7d6,"3'0""/2'10""+2d4",45/35+1d1,,,,,,,,,,,RoS,94,
Goatfolk,,,Medium,Monstrous Humanoid,,3,30,,,,,,2,Head Butt+5+0+1,,,,,,60,,,,,,,,,,,,,,,,2,2,,-2,-2,,"Intimidate+4,Listen,Spot,Survival",,Greataxe,,"Common, Ibixian","Elven, Giant, Gnome, Goblin, Sylvan",,2,,1,Barbarian,,,,,,,,,,,,,,MM3,63,
Goblin,,,Small,Humanoid,Goblinoid,,30,,,,,,,,,,,,,60,,,,,,,,,,11,13,12,10,9,6,-2,2,0,0,0,-2,"Move Silently+4,Ride+4",,,,"Common, Goblin","Draconic, Elven, Giant, Gnoll, Orc",,,,,Rogue,,,,,,,,,,,,,,MM,133,RoF
"Goblin, Dekanter",,,Medium,Monstrous Humanoid,Goblinoid,2,20,,,,,,4,"Horn+5+0+1,2 Claws+4+0+0",,,,,,60,,,,cold 5,,,,,,,,,,,,6,2,4,2,2,-2,"Climb,Intimidate,Jump,Listen,Sense Motive,Spot",,,,"Goblin, Undercommon, Common",By region,,,,4,Barbarian,,,,,,,,,,,,,,RoF,,Mon
"Goblin, Forestkith",,,Small,Humanoid,Goblinoid,,30,,20,,,,1,Bite+5+0+2,,,,,,60,,,,,,,,,,,,,,,,,2,,-2,,,"Climb+8,Hide+4,Jump+2,Move Silently+4",,Net,,Goblin,"Common, Elven, Giant, Orc",,,,1,Barbarian,,,,,,,,,,,,,,MM3,64,
"Goblin, Snow",,,Small,Humanoid,Goblinoid,,30,,20,,,,,,,,,,,60,,,,,,,,,,,,,,,,,2,,-2,,-2,"Climb+8,Intimidate+4,Move Silently+4",,,,"Common, Goblin","Draconic, Giant, Orc",,,,,Fighter,,,,,,,,,,,,,,Frost,136,
Goliath,,,Medium,Monstrous Humanoid,,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,4,-2,2,,,,Sense Motive+2,,,,"Common, Gol-Kaa","Dwarven, Giant, Gnoll, Terran",,,,1,Barbarian,,,,,,,,,,,,,,RoS,,
Grig,,,Tiny,Fey,,,20,,,40,poor,,2,,,"Disguise Self, Entangle (DC 10), Invisibility(self only), Pyrotechnics (DC 11), Ventriloquism (DC 10) (3/day)",,,,,,,,,17;ClassLvl,5/cold iron,,,,5,18,13,10,13,14,,,,,,,Jump+8,,"Longbow;Longbow, Composite;Sword, Short",Dodge,"Common, Sylvan","Elven, Gnome, Halfling",,1,,3,Rogue,,,,,,,,,,,,,,MM,235,
Grimlock,,,Medium,Monstrous Humanoid,,2,30,,,,,,4,,,,,,,,,"gaze attacks, visual effects, illusions, other attack forms
  that rely on sight.",,,,,,,,15,13,13,10,8,6,4,2,2,0,-2,-4,"Climb,Hide,Listen,Spot",,Battleaxe,Track,"Common, Grimlock","Draconic, Dwarven, Gnome, Terran, Undercommon",,1,,2,Barbarian,,,,,,,,,,,,,,MM,140,
"Guardinal, Cervidal",,,Medium,Outsider,"Good, Guardinal",4,50,,,,,,4,"2 Slams+5+0+1, Butt+3+0+0",,"Bless, Command, Detect Poison, Light (at will); Hold Person, Magic Missile, Suggestion (CL 9, DC 13+Spell Lvl)",,,normal,,,"electricity, petrification",,"cold 10, sonic10",,,,,,,,,,,,8,6,4,2,6,6,"Balance,Concentration,Heal,Intimidate,Jump+8,Knowledge (the planes),Listen,Spellcraft,Spot",,,,"Celestial, Infernal, Draconic",Common,,3,,5,Ranger,,,,,,,,,,,,,,MM2,,
"Guardinal, Lupinal",,,Medium,Outsider,"Good, Guardinal",8,50,,,,,,3,"2 Claws+4+0+1,Bite+5+0+0",,"Blink, Blur, Change Self, Darkness, Ethereal Jaunt (at will); Cone Of Cold, Cure Light Wounds, Fly, Magic Missile (3/day, CL 8, DC12+spell lvl)",,,normal,,,"electricity, petrification",,"cold 10, sonic10",,5/evil,,,,,,,,,,12,10,2,6,8,4,"Balance,Climb,Concentration,Diplomacy,Hide,Jump,Listen,Move Silently,Spot,Survival,Tumble",,,,"Celestial, Infernal, Draconic",Common,,5,,7,Ranger,,,,,,,,,,,,,,MM2,,
Hadozee,,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,-2,"Balance+4,Climb+4",,,,"Common, Hadozee","Aquan, Elven, Halfling",,,,,Rogue,13+1d3/1d4/1d6,"5'0""/4'10""+2d8",150/120+2d4,,,,,,,,,,,Sto,151,
Half-Elf,,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,,,,,,"Diplomacy+2,Gather Information+2,Listen+1,Search+1,Spot+1",,,,"Common, Elven",Any,,,,,Any,20+1d6/2d6/3d6,"4'7""/4'5""+2d8",100/80+2d4,,,,,,,,,,,PHB,,MM
"Half-Elf, Aquatic",,,Medium,Humanoid,"Aquatic, Elf",,30,,,,,15,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,,,,,,"Listen+1,Search+1,Spot+1,Swim+8",,,,"Common, Elven",Any,,,,,Any,20+1d6/2d6/3d6,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,RoF,,Sto
"Half-Elf, Deepwyrm Drow",,,Medium,Humanoid,"Dragonblood, Elf",,30,,,,,,,,,Detect Magic (3/day); Disguise Self,,,normal,120,,sleep effects,,,,,,,,,,,,,,,,,,,,"Bluff+2,Gather Information+2,Listen+1,Search+1,Spot+1",,,,"Common, Elven, Undercommon","Chondathan, Dwarven, Giant, Goblin, Illuskan, Sylvan",,,,,Any,,,,,,,,,,,,,,DrM,,
"Half-Elf, Drow",,,Medium,Humanoid,Elf,,30,,,,,,,,,,,,normal,120,,sleep effects,,,,,,,,,,,,,,,,,,,,"Diplomacy+2,Gather Information+2,Listen+1,Search+1,Spot+1",,,,"Common, Elven, Undercommon","Chondathan, Dwarven, Giant, Goblin, Illuskan, Sylvan",,,,,Any,20+1d6/2d6/3d6,"4'7""/4'5""+2d8",100/80+2d4,,,,,,,,,,,PGtF,,
"Half-Elf, Forestlord",,,Medium,Humanoid,"Dragonblood, Elf",,30,,,,,,,,,,,,normal,,,sleep effects,,,,,,,,,,,,,,,,,,,,"Listen+1,Search+1,Spot+1",,,,"Common, Elven",Any,,,,,Any,,,,,,,,,,,,,,DrM,,
Half-Giant,,,Medium,Giant,,,30,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,2,-2,2,,,,,,,,Common,"Draconic, Giant, Gnoll, Ignan",,,,1,Psychic Warrior,30+3d6/2d6/4d6,"6'4""/6'1""+2d12",220/180+2d6,,,,,,,,,,,XPH,200,SoX
Half-Kender,,,Medium,Humanoid,Kender,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Open Lock+1,Sleight of Hand+1,Spot+1",,,,"Kenderspeak, Common",Any,,,,,Any,,,,,,,,,,,,,,AoM,,
"Halfling, Deep",,,Small,Humanoid,Halfling,,20,,,,,,,,,,,,,60,,,,,,,,,,11,13,12,10,9,8,-2,2,0,0,0,0,Listen+2,,,,"Common, Halfling, Dwarven","Dwarven, Elven, Gnome, Goblin, Orc",,,,,Rogue,,,,,,,,,,,,,,MM,150,
"Halfling, Ghostwise",,,Small,Humanoid,Halfling,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,,,"Climb+2,Jump+2,Listen+2,Move Silently+2",,,,"Common, Halfling","Chondathan, Elven, Gnoll, Shaaran, Sylvan",,,,,Barbarian,20+2d4/3d6/4d6,"2'8""/2'6""+2d4",30/25+1d1,,,,,,,,,,,RoF,,
"Halfling, Glimmerskin",,,Small,Humanoid,"Dragonblood, Halfling",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,,,"Climb+2,Jump+2,Listen+2",,,,"Common, Halfling","Dwarven, Elven, Gnome, Goblin, Orc",,,,,Rogue,,,,,,,,,,,,,,DrM,,
"Halfling, Lightfoot",,,Small,Humanoid,Halfling,,20,,,,,,,,,,,,,,,,,,,,,,,11,13,12,10,9,8,-2,2,0,0,0,0,"Climb+2,Jump+2,Listen+2,Move Silently+2",,,,"Common, Halfling","Dwarven, Elven, Gnome, Goblin, Orc",,,,,Rogue,20+2d4/3d6/4d6,"2'8""/2'6""+2d4",30/25+1d1,,,,,,,,,,,PHB,,
"Halfling, Shoal",,,Small,Humanoid,"Aquatic, Halfling",,20,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,,,"Listen+2,Swim+8",,,,"Common, Halfling","Dwarven, Elven, Gnome, Goblin, Orc",,,,,Rogue,,,,,,,,,,,,,,Sto,,
"Halfling, Strongheart",,,Small,Humanoid,Halfling,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,,,"Climb+2,Jump+2,Listen+2,Move Silently+2",,,,"Common, Halfling","Dwarven, Gnoll, Goblin, Halruaan, Shaaran",,,,,Rogue,20+2d4/3d6/4d6,"2'8""/2'6""+2d4",30/25+1d1,,,,,,,,,,,RoF,,
"Halfling, Tallfellow",,,Small,Humanoid,Halfling,,20,,,,,,,,,,,,,,,,,,,,,,,11,13,12,10,9,8,-2,2,0,0,0,0,"Listen+2,Search+2,Spot+2",,,,"Common, Halfling","Dwarven, Elven, Gnome, Goblin, Orc",,,,,Rogue,,,,,,,,,,,,,,MM,149,
"Halfling, Tundra",,,Small,Humanoid,Halfling,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,,,"Jump+2,Listen+2,Move Silently+2,Survival+2",,,,"Common, Halfling","Dwarven, Elven, Gnome, Goblin, Orc",,,,,Ranger,20+2d4/3d6/4d6,"2'8""/2'6""+2d4",30/25+1d1,,,,,,,,,,,Frost,,
Half-Ogre,,,Large,Giant,,,30,,,,,,4,,,,,,,60,,,,,,,,,,,,,,,,6,-2,2,-2,,-2,,,,,"Common, Giant","Draconic, Gnoll, Goblin, Orc, Abyssal",,,,2,Barbarian,14+1d4/1d6/2d6,"6'10""/6'5""+2d12",250/210+3d8,,,,,,,,,,,RoD,96,MM
"Half-Ogre, Krynnian",,,Medium,Giant,,,30,,,,,,1,,,,,,normal,60,,,,,,,,,,,,,,,,4,0,2,-2,,-2,,,,,"Common, Ogre","Goblin, Kothian, High Ogre",,,,1,Fighter,14+1d4/1d6/2d6,"6'10""/6'5""+2d12",250/210+3d8,,,,,,,,,,,DLCS,,
Half-Orc,,,Medium,Humanoid,Orc,,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,2,,,-2,,-2,,,,,"Common, Orc","Draconic, Giant, Gnoll, Goblin, Abyssal",,,,,Barbarian,14+1d4/1d6/2d6,"4'10""/4'5""+2d12",150/110+2d6,,,,,,,,,,,PHB,,
"Half-Orc, Frostblood",,,Medium,Humanoid,"Dragonblood, Orc",,30,,,,,,,,,,,,,,,,fire,cold 10,,,,,,,,,,,,2,,,-2,,-2,,,,Endurance,"Common, Orc","Draconic, Giant, Gnoll, Goblin, Abyssal",,,,,Barbarian,,,,,,,,,,,,,,DrM,,
"Half-Orc, Scablands",,,Medium,Humanoid,Orc,,30,,,,,,,,,,,,normal,60,,,,,,,,,,,,,,,,2,,,-2,,-2,,,,,"Common, Orc","Draconic, Giant, Gnoll, Goblin, Abyssal",,,,,Barbarian,,,,,,,,,,,,,,Sa,,
"Half-Vistani, Canjar",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,"Spellcraft+2,Survival+2",,,,Common,"Balok, Darkonese, Mordentish, Vaasi, Draconic",,,,,Wizard,,,,,,,,,,,,,,RCS,,
"Half-Vistani, Corvara",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,"Open Lock+2,Sense Motive+2,Survival+2",,,,Common,"Balok, Darkonese, Mordentish, Vaasi, Draconic",,,,,Rogue,,,,,,,,,,,,,,RCS,,
"Half-Vistani, Equaar",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,"Handle Animal+2,Ride+2,Survival+2",,,,Common,"Balok, Darkonese, Mordentish, Vaasi, Draconic",,,,,Ranger,,,,,,,,,,,,,,RCS,,
"Half-Vistani, Kamii",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,Survival+2,,,,Common,"Balok, Darkonese, Mordentish, Vaasi, Draconic",,,,,Rogue,,,,,,,,,,,,,,RCS,,
"Half-Vistani, Naiat",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,"Perform (any)+2,Survival+2",,,,Common,"Balok, Darkonese, Mordentish, Vaasi, Draconic",,,,,Bard,,,,,,,,,,,,,,RCS,,
"Half-Vistani, Vatmska",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,"Profesion (herbalism)+2,Survival+2",,,,Common,"Balok, Darkonese, Mordentish, Vaasi, Draconic",,,,,Cleric,,,,,,,,,,,,,,RCS,,
"Half-Vistani, Zarovan",,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-2,Survival+2,,,,Common,"Balok, Darkonese, Mordentish, Vaasi, Draconic",,,,,Sorcerer,,,,,,,,,,,,,,RCS,,
Harssaf,,,Medium,Monstrous Humanoid,Fire,6,30,10,,,,,3,,,,,,,,,"blindness, fire",cold,,17;ClassLvl,5/bludgeoning,,,,,,,,,,4,6,6,,,2,"Climb,Hide,Jump,Knowledge (nature),Listen,Move Silently,Spot",,,"Alertness, Lightning Reflexes","Common, Ignan","Draconic, Dwarven, Elven, Giant, Halfling, Orc, Terran",,5,,4,Monk,,,,,,,,,,,,,,MM3,82,
Hellbred,,,Medium,Humanoid,Hellbred,,30,,,,,,,,,,,,,ref:HellbredDarkvision,,,,,,,,,,,,,,,,,,ref:HellbredConAdj,ref:HellbredIntAdj,,ref:HellbredChaAdj,ref:HellbredSkills,,,Devil's Favor,"Common, Infernal",Any,,,,,Paladin,,,,,,,,,,,,,,FCII,77,
Hengeyokai,,,ref:HengeyokaiSize,Humanoid,Shapechanger,,ref:HengeyokaiSpeed,ref:HengeyokaiBurrow,ref:HengeyokaiClimb,ref:HengeyokaiFly,ref:HengeyokaiManeuver,ref:HengeyokaiSwim,ref:HengeyokaiNA,ref:HengeyokaiAttacks,,,,,ref:HengeyokaiLLV,,,,,,,,,,,,,,,,,ref:HengeyokaiStrAdj,ref:HengeyokaiDexAdj,ref:HengeyokaiConAdj,,-2,,ref:HengeyokaiSkills,,,,"Common, Hengeyokai","Giant, Goblin, Nezumi, Spirit Tongue",,,,,Wu Jen,40+4d6/6d6/9d6,"4'10""/4'5""+2d8",120/85+2d4,,,,,,,,,,,OA,10,
Hobgoblin,,,Medium,Humanoid,Goblinoid,,30,,,,,,,,,,,,,60,,,,,,,,,,13,13,14,10,9,8,0,2,2,0,0,0,Move Silently+4,,,,"Common, Goblin","Draconic, Dwarven, Infernal, Giant, Orc",,,,1,Fighter,,,,,,,,,,,,,,MM,153,RoF
"Hobgoblin, Sunscorch",,,Medium,Humanoid,"Dragonblood, Goblinoid",,30,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,,2,,"Bluff+2,Move Silently+4",,,,"Common, Goblin","Draconic, Dwarven, Infernal, Giant, Orc",,,,1,Fighter,,,,,,,,,,,,,,DrM,,
Human,,,Medium,Humanoid,Human,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,1st level bonus feat,Common,Any,,,,,ref:OAHumanFavClass,15+1d4/1d6/2d6,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,PHB,,
"Human, Silverbrow",,,Medium,Humanoid,"Dragonblood, Human",,30,,,,,,,,,Feather Fall (3/day),,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,Disguise+2,,,1st level bonus feat,Common,Any,,,,,Any,,,,,,,,,,,,,,DrM,,
Illumian,,,Medium,Humanoid,Human,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"Common, Illumian",Any,,,,,Any,20+2d4/3d6/4d6,"4'11""/4'6""+2d10",110/80+2d4,,,,,,,,,,,RoD,51,
Jackal Lord,,,Medium,Monstrous Humanoid,,8,30,,,,,,4,"2 Claws+4+0+1,Bite+7+0+0",,"Cat's Grace, Change Self, Detect Magic, Detect Good, Suggestion (at will); Shadow Walk (3/day)",,,,60,,,,,,10/magic,,,,,,,,,,2,4,4,2,8,6,"Bluff,Diplomacy,Disguise,Intimidate,Knowledge (religion),Listen,Move Silently,Sense Motive,Spot",,,,Common,Infernal,,8,,4,Cleric,,,,,,,,,,,,,,FF,105,
Janni,,,Medium,Outsider,Native,6,30,,,20,perfect,,1,,,"Invisibility (self only), Speak With Animals (3/day);Create Food And Water, Ethereal Jaunt",,,,,,,,fire 10,,,,,,16,15,12,14,15,13,,,,,,,"Appraise,Concentration,Craft (any),Escape Artist,Listen,Move Silently,Ride,Sense Motive,Spot",,,Improved Initiative,Common,"Aquan, Auran, Ignan, Terran, Abyssal, Celestial, Infernal",,4,,5,Rogue,,,,,,,,,,,,,,MM,116,
Kalashtar,,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bluff+2,Diplomacy+2,Intimidate+2",,,,"Common, Quor","Draconic, Riedran",,,,,Psion,40+2d6/3d6/5d6,"5'4""/5'2""+2d6",135/105+1d6,,,,,,,,,,,ECS,,
Kaorti,,,Medium,Outsider,"Evil, Extraplanar",2,30,,,,,,2,Bite+5+0+0,,"Color Spray, Disguise Self, Featherfall, Ray of Feeblemind, Reduce, Spider Climb",,,,,,poison,,,,,,,,,,,,,,-4,4,,4,,6,"Concentration,Craft (any),Heal+8,Intimidate,Knowledge (arcana),Knowledge (the planes),Spellcraft,Survival,Use Magic Device",,"Dagger, Ribbon",,Kaorti,"Common, Sylvan",,1,,2,Sorcerer,,,,,,,,,,,,,,FF,,
Karsite,,,Medium,Humanoid,Human,,30,,,,,,,,,,,,,,,,,,10;ClassLvl,5/magic,,,,,,,,,,,,2,,,2,,,,1st level bonus feat,Common,Any,,1,,2,Binder,15+1d4/1d6/2d6,"4'10""/4'5""+2d10",120/85+2d4,,,,,,,,,,,TM,84,
Keeper,,,Medium,Outsider,Extraplanar,4,40,,20,,,,4,,,,,,,,,"mind-affecting effects, poison, sleep, paralysis, stunning, disease, death effects, necromantic effects, any effect requiring a Fort save unless it works on objects. You are also not subject to critical hits, sneak attacks, subdual damage, ability damage, ability drain, energy drain, death from massive damage.",,"acid 10, cold 10, fire 10, electricity 10, sonic 10",13,10/magic,,,,,,,,,,8,6,4,4,-2,-4,"Climb+8,Escape Artist+8,Hide,Jump+8,Knowledge (any),Listen,Move Silently,Open Lock,Spot",,,Spring Attack,"Common, Celestial, Infernal",,,7,,3,Rogue,,,,,,,,,,,,,,FF,111,
Kender,,,Small,Humanoid,Kender,,20,,,,,,,,,,,,,,,fear,,,,,,,,,,,,,,-2,2,,,-2,,"Concentration,Open Lock+2,Sleight of Hand+2,Spot+2",,,,"Kenderspeak, Common","Dwarven, Ergot, Elven, Goblin, Solamnic",,,,,Rogue,,,,,,,,,,,,,,DLCS,,
"Kender, Afflicted",,,Small,Humanoid,Kender,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,2,,,-2,,"Climb+2,Hide+2,Jump+2,Open Lock+2,Sleight of Hand+2,Spot+2",,,,"Kenderspeak, Common","Dwarven, Ergot, Elven, Goblin, Solamnic",,,,,Rogue,,,,,,,,,,,,,,DLCS,,
Kenku,,,Medium,Humanoid,,,30,,,,,,,2 Claws+3+0+1,,,,,normal,,,,,,,,,,,,,,,,,-2,2,,,,,"Hide+2,Move Silently+2",,,,"Common, Kenku","Auran, Dwarven, Gnome, Goblin, Halfling",,,,,Rogue,,,,,,,,,,,,,,MM3,86,
Khaasta,,,Medium,Monstrous Humanoid,"Extraplanar, Reptilian",3,30,,,,,,6,Bite+5+0+2,,,,,,60,,,,,,,,,,,,,,,,8,2,4,2,,,"Climb,Handle Animal,Intimidate,Knowledge (the planes),Ride,Spot,Survival",,,,"Common, Draconic",,,3,,3,Fighter,,,,,,,,,,,,,,FF,115,
Killoren,,,Medium,Fey,,,30,,,,,,,,,,,,,,,magic sleep effects,,,,,,,,,,,,,,,,,,,,"Handle Animal+2,Survival+2",,,,"Common, Sylvan","Aquan, Auran, Elven, Gnome, Ignan, Terran",,,,,Druid,10+1d4/1d6/2d6,"5'0""/5'0""+2d6",100/90+2d4,,,,,,,,,,,RotW,,
Kir-Lanan,,,Medium,Monstrous Humanoid,,4,30,,,90,good,,3,2 Claws+4+0+1,,Ray of Enfeeblement (3/day),,,,60,,,,,,,,,,,,,,,,4,2,,,-2,,"Escape Artist,Hide,+4Listen,Move Silently,Spot,Use Magic Device",,,,"Kir-Lanan, Common",By region,,,,4,Fighter,,,,,,,,,,,,,,RoF,,
Kobold,,,Small,Humanoid,"Dragonblood, Reptilian",,30,,,,,,1,,,,,,,60,,,,,,,,,,9,13,10,10,9,8,-4,2,-2,0,0,0,ref:KoboldSkills,,,,Draconic,"Common, Undercommon",,,,,Sorcerer,6+1d3/1d4/2d4,"2'1""/1'10""+2d4",40/30+1d1,,,,,,,,,,,MM,161,RotD
Korobokuru,,,Small,Humanoid,,,20,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,-2,,,Survival+2,,,,"Common, Dwarven","Giant, Goblin, Hengeyokai, Sylvan",,,,,Barbarian,40+3d6/5d6/7d6,"3'9""/3'7""+2d4",100/70+2d4,,,,,,,,,,,OA,11,
Krinth,,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,-2,,,,,"Common, Netherese","Abyssal, Chondathan, Damaran, Undercommon",,,,,Fighter,,,,,,,,,,,,,,CR,,
Kuo-Toa,,,Medium,Monstrous Humanoid,Aquatic,2,20,,,,,50,6,Bite+5+0+2,,,,,,,,"poison, paralysis",,electricity 10.,,,,,,,,,,,,2,,2,2,2,-2,"Craft (any),Escape Artist+8,Knowledge (any),Listen,Move Silently,Search+4,Spot+4,Swim+8",,Shortspear,Alertness,Kuo-Toan,"Undercommon, Aquan",,2,,3,Rogue,,,,,,,,,,,,,,MM,163,
Kyrie,,,Medium,Monstrous Humanoid,,4,20,,,50,good,,2,2 Claws+4+0+1,,,,,,60,,,,,,,,,,,,,,,,-2,6,,,2,,"Handle Animal,Knowledge (nature),Listen,Survival",,,,"Auran, Kothian","Common,Kalinese,Nordmaarian",,2,,3,Mystic,,,,,,,,,,,,,,BoK,,
Kyton (Chain Devil),,,Medium,Outsider,"Evil, Extraplanar, Lawful",8,30,,,,,,8,2 Chains+9+0+1,,,,,,60,,cold,,,18,5/silver or good,,,,15,15,15,6,10,12,,,,,,,"Climb,Craft (blacksmithing),Escape Artist,Intimidate,Listen,Spot,Use Rope",,,,"Common, Infernal",,,6,,6,,,,,,,,,,,,,,,MM,,
Lizardfolk,,,Medium,Humanoid,Reptilian,2,30,,,,,,5,"2 Claws+4+0+1,Bite+4+0+0",,,,,,,,,,,,,,,,13,10,13,9,10,10,2,0,2,-2,0,0,"Balance+4,Jump+4,Swim+4",,,,"Common, Draconic","Aquan, Goblin, Gnoll, Orc",,1,,1,Druid,,,,,,,,,,,,,,MM,169,RoF
"Lizardfolk, Blackscale",,,Large,Monstrous Humanoid,Reptilian,3,40,,,,,,7,"2 Claws+4+0+1,Bite+4+0+0",,,,,,60,,,,acid 5,,,,,,,,,,,,8,,4,-2,,-4,"Balance+4,Jump+4,Swim+8",,,,Draconic,,,3,,3,Barbarian,,,,,,,,,,,,,,MM3,95,
"Lizardfolk, Poison Dusk",,,Small,Humanoid,Reptilian,,30,,,,,,3,"2 Claws+4+0+1,Bite+4+0+0",,,,,normal,,,,,,,,,,,,,,,,,,2,2,,,-2,"Balance+4,Hide+5,Jump+4,Swim+8",,,Multiattack,"Common, Draconic","Halfling, Sylvan",,1,,1,Ranger,,,,,,,,,,,,,,MM3,96,
"Lizardfolk, Viletooth",,,Medium,Humanoid,"Dragonblood, Reptilian",2,30,,,,,,5,"2 Claws+4+0+1,Bite+4+0+0",,,,,,,,,,,,,,,,,,,,,,,,2,,,,"Balance+4,Jump+4,Swim+4",,,,"Common, Draconic","Aquan, Goblin, Gnoll, Orc",,1,,1,Druid,,,,,,,,,,,,,,DrM,,
Locathah,,,Medium,Humanoid,Aquatic,2,10,,,,,60,3,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,"Craft (any),Listen,Spot,Swim+8",,,,Aquan,,,,,1,Barbarian,,,,,,,,,,,,,,MM,169,
Loxo,,,Large,Monstrous Humanoid,,5,30,,,,,,4,"2 Slams+4+0+1,Trample+5+0+2",,,,,,60,,,,,,,,,,,,,,,,8,2,2,,,-2,"Climb,Listen,Spot,Survival",,,,Loxo,Common,,2,,2,Ranger,,,,,,,,,,,,,,MM2,144,"ShS,Sand"
Lumi,,,Medium,Outsider,Extraplanar,2,30,,,,,,,,,"Disrupt Undead (DC10), Light (at will); Cure Light Wounds, Glitterdust (DC12) (3/day)",,,,,,,,,,,,,,,,,,,,2,-2,4,,4,,"Concentration,Diplomacy,Heal,Knowledge (the planes),Listen,Search+2,Sense Motive+2,Spot+2",,,Improved Initiative,"Common, Lumi","Abyssal, Celestial, Dwarven, Infernal",,2,,2,Cleric,,,,,,,,,,,,,,MM3,98,
Maeluth,,,Medium,Outsider,Native,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,4,,,,,,,,"Common, Dwarven, Undercommon",,,,,1,Cleric,,,,,,,,,,,,,,FF,,
Maenad,,,Medium,Humanoid,,,30,,,,,,,,,,,,,,,,,,,,,,,13,11,12,10,9,8,0,0,0,0,0,0,,,,,"Common, Maenad","Aquan, Draconic, Dwarven, Elven, Goblin",,,,,Wilder,40+1d6/4d6/6d6,"5'4""/5'3""+2d10",150/120+2d4,,,,,,,,,,,XPH,203,
